Institution_Name,State,Policy_2026,Policy_Details,Is_policy_temporary,Link_to_policy,Pct_enroll_no_scores,Control_of_institution
Truckee Meadows Community College,NV,Test Optional,,Unannounced,https://www.tmcc.edu/testing/faq,,Public
Truett McConnell University,GA,Test Optional,,Unannounced,https://truett.edu/admissions/undergraduate-admission/,78%,Private not-for-profit
Truman State University,MO,Test Optional,,Yes,https://www.truman.edu/admission-cost/apply-to-truman/test-optional-policy,13%,Public
Tufts University,MA,Test Optional,,Yes,https://admissions.tufts.edu/apply/first-year-students,44%,Private not-for-profit
Tulane University of Louisiana,LA,Test Optional,,Yes,https://tulanehullabaloo.com/66060/news/elite-colleges-reinstate-standardized-testing-requirement-following-new-research/,50%,Private not-for-profit
Turtle Mountain Community College,ND,Test Optional,,Unannounced,,,Private not-for-profit
Tusculum University,TN,Test Optional,3,Yes,https://home.tusculum.edu/apply/admission-requirements,5%,Private not-for-profit
Tuskegee University,AL,Test Optional,3,Yes,https://www.tuskegee.edu/admissions-aid/admission-criteria/criteria-for-freshman,7%,Private not-for-profit
Tyler Junior College,TX,Test Optional,,Unannounced,https://www.tjc.edu/firsttime,,Public
"Union Adventist University
",NE,Test Optional,,Unannounced,https://uau.edu/admissions/acceptance-checklist,11%,Private not-for-profit
Union Bible College,IN,Test Optional,,Unannounced,https://www.ubca.org/admissions,100%,Private not-for-profit
Union College,NY,Test Optional,4,No,https://www.union.edu/admissions/apply/test-policy,45%,Private not-for-profit
"Union Commonwealth University
",KY,Test Optional,,Unannounced,https://www.unionky.edu/admissions-aid/undergraduate,28%,Private not-for-profit
Union University,TN,Test Optional,,Yes,https://www.uu.edu/admissions/undergraduate/faq-test-optional-admission-policy.cfm,2%,Private not-for-profit
United International College,FL,Test Optional,,Unannounced,https://www.insidehighered.com/news/quick-takes/2024/06/21/union-institute-university-announces-closure,,Private for-profit
United States Coast Guard Academy,CT,Test Optional,,Unannounced,https://uscga.edu/admissions/admission-requirements/,-6%,Public
United States Sports Academy,--,Test Optional,,Unannounced,https://ussa.edu/assets/catalogs/2021-22_Undergraduate_Catalog.pdf,,
United States University,CA,Test Optional,,Unannounced,https://usuniversity.smartcatalogiq.com/en/current/general-catalog/admissions/admission-requirements/general-undergraduate-admissions/,,Private for-profit
United Talmudical Seminary,NY,Test Optional,,Unannounced,,,Private not-for-profit
United Tribes Technical College,ND,Test Optional,,Unannounced,,,Private not-for-profit
Unitek College,CA,Test Optional,,Unannounced,https://www.unitekcollege.edu/admissions/requirements/,,Private for-profit
Unity Environmental University,ME,Test Optional,,Unannounced,https://unity.edu/distance-education/admissions-costs-aid/requirements/,100%,Private not-for-profit
Universal Technology College of Puerto Rico,PR,Test Optional,,Unannounced,http://www.unitecpr.edu/wordpress/admisiones/,,Private not-for-profit
Universidad Adventista de las Antillas,PR,Test Optional,,Unannounced,,,Private not-for-profit
Universidad Ana G. Mendez-Cupey Campus,PR,Test Optional,,Unannounced,,,Private not-for-profit
Universidad Ana G. Mendez-Gurabo Campus,PR,Test Optional,6,Unannounced,,,Private not-for-profit
Universidad Ana G. Mendez–Carolina campus,PR,Test Optional,,Unannounced,,,Private not-for-profit
Universidad Central de Bayamon,PR,Test Optional,,Unannounced,,,Private not-for-profit
"University 
of Mount Saint Vincent",NY,Test Optional,,Unannounced,https://mountsaintvincent.edu/admission/undergraduate-college-admission/apply-high-school-students/application-checklist-timeline/,95%,Private not-for-profit
University at Buffalo,NY,Test Optional,,Unannounced,https://www.buffalo.edu/admissions/apply/first-year.standardized-tests.html,63%,Public
University of Advancing Technology,AZ,Test Optional,,Unannounced,,100%,Private for-profit
University of Akron Main Campus,OH,Test Optional,,No,https://www.uakron.edu/admissions/undergraduate/test-optional,5%,Public
University of Alabama at Birmingham,AL,Test Optional,,Yes,https://www.uab.edu/admissions/apply/test-optional,44%,Public
University of Alabama in Huntsville,AL,Test Optional,,Yes,https://www.wvua23.com/wanna-get-into-alabama-your-test-scores-are-one-less-thing-to-stress-over/,39%,Public
University of Alaska Anchorage,AK,Test Optional,"1,3",Unannounced,,,Public
University of Alaska Fairbanks,AK,Test Free,,Yes,https://www.uaf.edu/admissions/apply/index.php#now,,Public
University of Alaska Southeast,AK,Test Optional,1,Unannounced,,,Public
University of Arizona,AZ,Test Optional,,Unannounced,https://www.arizona.edu/admissions/first-year/apply,58%,Public
University of Arkansas,AR,Test Optional,"1,3",Yes,https://admissions.uark.edu/apply/test-scores-and-applying.php,-6%,Public
University of Arkansas at Little Rock,AR,Test Optional,3,Unannounced,https://ualr.edu/admissions/freshmen/#Standards,12%,Public
University of Arkansas at Monticello,AR,Test Optional,1,Unannounced,,,Public
University of Arkansas for Medical Sciences,AR,Test Optional,,Unannounced,,,
University of Arkansas-Fort Smith,AR,Test Optional,,Unannounced,,,Public
University of Baltimore,MD,Test Optional,,No,https://www.baltimoresun.com/education/bs-md-usm-admissions-20220621-dwajnt6v4rdpvifsscrkcmfef4-story.html,77%,Public
University of Bridgeport,CT,Test Optional,,No,,86%,Private not-for-profit
University of California-Berkeley,CA,Test Free,,No,,,Public
University of California-Davis,CA,Test Free,,No,,,Public
University of California-Irvine,CA,Test Free,,No,,,Public
University of California-Los Angeles,CA,Test Free,,No,,,Public
University of California-Merced,CA,Test Free,,No,,,Public
University of California-Riverside,CA,Test Free,,No,,,Public
University of California-San Diego,CA,Test Free,,No,,,Public
University of California-Santa Barbara,CA,Test Free,,No,,,Public
University of California-Santa Cruz,CA,Test Free,,No,,,Public
University of Central Arkansas,AR,Test Optional,3,Unannounced,https://uca.edu/ubulletin/general-policies-information/admission-to-the-university,3%,Public
University of Central Missouri,MO,Test Optional,3,Unannounced,,17%,Public
University of Central Oklahoma,OK,Test Optional,3,Unannounced,,13%,Public
University of Charleston,WV,Test Free,3,Unannounced,"https://www.ucwv.edu/admissions/undergraduate-admissions/undergraduate-requirements/#:~:text=Standardized-,Tests,-The%20University%20of",,Private not-for-profit
University of Chicago,IL,Test Optional,,No,,16%,Private not-for-profit
University of Cincinnati-Blue Ash College,OH,Test Optional,,Unannounced,,,Public
University of Cincinnati-Clermont College,OH,Test Optional,,Unannounced,,,Public
University of Cincinnati-Main Campus,OH,Test Optional,4,Yes,https://admissions.uc.edu/information/high-school/fymc-information/test-optional-admission.html,49%,Public
University of Colorado Boulder,CO,Test Optional,,Unannounced,https://www.colorado.edu/admissions/first-year/selection,55%,Public
University of Colorado Colorado Springs,CO,Test Optional,,Unannounced,https://www.uccs.edu/admissionsenrollment/apply-first-year-student,90%,Public
University of Colorado Denver/Anschutz Medical Campus,CO,Test Optional,,Unannounced,https://www.ucdenver.edu/undergraduate-admissions/first-year/requirements,58%,Public
University of Connecticut,CT,Test Optional,,Yes,https://admissions.uconn.edu/apply/first-year/instructions/,50%,Public
University of Connecticut-Avery Point,CT,Test Optional,,Unannounced,https://admissions.uconn.edu/apply/first-year/instructions/,60%,Public
University of Connecticut-Hartford Campus,CT,Test Optional,,Unannounced,https://admissions.uconn.edu/apply/first-year/instructions/,61%,Public
University of Connecticut-Stamford,CT,Test Optional,,Unannounced,https://admissions.uconn.edu/apply/first-year/instructions/,63%,Public
University of Connecticut-Waterbury Campus,CT,Test Optional,,Unannounced,https://admissions.uconn.edu/apply/first-year/instructions/,50%,Public
University of Dayton,OH,Test Optional,,Unannounced,https://udayton.edu/apply/undergraduate/admission-process.php,40%,Private not-for-profit
University of Delaware,DE,Test Optional,,Unannounced,https://www.udel.edu/udaily/2023/march/faculty-senate-april-meeting/,71%,Public
University of Denver,CO,Test Optional,,No,,50%,Private not-for-profit
University of Detroit Mercy,MI,Test Optional,,No,https://www.udmercy.edu/admission/freshman/index.php,26%,Private not-for-profit
University of Dubuque,IA,Test Optional,,Unannounced,https://www.dbq.edu/NewsandEvents/NewsArchive/2020-21/University-of-Dubuque-to-Become-Test-Optional-for-Undergraduate-Admission.cfm,100%,Private not-for-profit
University of Evansville,IN,Test Optional,4,No,,23%,Private not-for-profit
University of Fort Lauderdale,FL,Test Optional,6,Unannounced,https://uftl.edu/academics/undergraduate-admissions/,,Private not-for-profit
University of Guam,GU,Test Optional,,Unannounced,,,Public
University of Hartford,CT,Test Optional,,No,https://www.hartford.edu/admission/undergraduate/first-year/default.aspx#accordion-group-1-section-3-label,74%,Private not-for-profit
University of Hawaii at Hilo,HI,Test Optional,3,Unannounced,"https://manoa.hawaii.edu/admissions/freshman/#:~:text=For%20prospective%20freshmen%20students%20applying%20for%20the%202021%2D2022%20academic,part%20of%20their%20admissions%20application.&text=UH%20Manoa's%20college%20codes%20are%20SAT%204867%20and%20ACT%200902.",49%,Public
University of Hawaii at Manoa,HI,Test Optional,,Unannounced,"https://manoa.hawaii.edu/admissions/freshman/#:~:text=For%20prospective%20freshmen%20students%20applying%20for%20the%202021%2D2022%20academic,part%20of%20their%20admissions%20application.&text=UH%20Manoa's%20college%20codes%20are%20SAT%204867%20and%20ACT%200902.",95%,Public
University of Hawaii Maui College,HI,Test Optional,,Unannounced,https://catalog.maui.hawaii.edu/admission-requirements,,Public
University of Hawaii-West Oahu,HI,Test Optional,3,Unannounced,"https://manoa.hawaii.edu/admissions/freshman/#:~:text=For%20prospective%20freshmen%20students%20applying%20for%20the%202021%2D2022%20academic,part%20of%20their%20admissions%20application.&text=UH%20Manoa's%20college%20codes%20are%20SAT%204867%20and%20ACT%200902.",46%,Public
University of Health Sciences and Pharmacy in St. Louis,MO,Test Optional,,Yes,https://www.uhsp.edu/admissions/undergraduate-admissions/,39%,Private not-for-profit
University of Holy Cross,LA,Test Optional,6,Unannounced,,,Private not-for-profit
University of Houston,TX,Test Optional,,Unannounced,https://uh.edu/undergraduate-admissions/apply/freshman/,39%,Public
University of Houston-Clear Lake,TX,Test Optional,,Unannounced,https://uh.edu/undergraduate-admissions/resources/test-optional-admissions,66%,Public
University of Houston-Downtown,TX,Test Optional,,Unannounced,https://uh.edu/undergraduate-admissions/resources/test-optional-admissions,53%,Public
University of Houston-Victoria,TX,Test Optional,3,Unannounced,https://uh.edu/undergraduate-admissions/resources/test-optional-admissions,,Public
University of Idaho,ID,Test Optional,3,Yes,https://catalog.uidaho.edu/student-services/admission/#first%20year%20admission%20requirements,26%,Public
University of Illinois Chicago,IL,Test Optional,,Unannounced,https://admissions.uic.edu/undergraduate/requirements-deadlines/first-year-requirements/test-optional-faq,65%,Public
University of Illinois Springfield,IL,Test Optional,,Unannounced,https://www.forbes.com/sites/michaeltnietzel/2021/07/11/illinois-passes-law-requiring-its-public-universities-to-use-test-optional-admissions/?sh=1bd8c44425aa,34%,Public
University of Illinois Urbana-Champaign,IL,Test Optional,,Unannounced,https://www.admissions.illinois.edu/faq/applicant-freshman,36%,Public
University of Indianapolis,IN,Test Optional,,Unannounced,https://uindy.edu/admissions/admission-requirements#test-optional,,Private not-for-profit
University of Iowa,IA,Test Optional,,No,https://www.uidaho.edu/admissions/apply/first-year/admission-requirements/gpa-and-test-scores,16%,Public
University of Jamestown,ND,Test Optional,,Unannounced,https://www.uj.edu/admission-aid/apply/first-year-student/,,Private not-for-profit
University of Kansas,KS,Test Optional,3,Unannounced,,18%,Public
University of Kentucky,KY,Test Optional,,Yes,https://admission.uky.edu/news/test-optional,31%,Public
University of La Verne,CA,Test Optional,,No,,93%,Private not-for-profit
University of Louisiana at Lafayette,LA,Test Optional,3,Unannounced,https://louisiana.edu/admissions-aid/application-process,100%,Public
University of Louisiana at Monroe,LA,Test Optional,1,Unannounced,,1%,Public
University of Louisville,KY,Test Optional,6,Yes,https://louisville.edu/admissions/apply/i-am-a-first-time-freshman/test-optional-faqs,2%,Public
University of Lynchburg,VA,Test Free,,No,https://www.lynchburg.edu/admissions/apply/apply-as-a-first-year-student/#elementor-toc__heading-anchor-2,75%,Private not-for-profit
University of Maine,ME,Test Optional,4,Unannounced,https://go.umaine.edu/apply/applyinfo/,71%,Public
University of Maine at Augusta,ME,Test Optional,,Unannounced,https://go.umaine.edu/apply/applyinfo/,,Public
University of Maine at Farmington,ME,Test Optional,,Unannounced,https://go.umaine.edu/apply/applyinfo/,81%,Public
University of Maine at Fort Kent,ME,Test Optional,,Unannounced,https://go.umaine.edu/apply/applyinfo/,,Public
University of Maine at Machias,ME,Test Optional,1,Unannounced,https://go.umaine.edu/apply/applyinfo/,,Public
University of Maine at Presque Isle,ME,Test Optional,,Unannounced,https://go.umaine.edu/apply/applyinfo/,100%,Public
University of Management and Technology,VA,Test Optional,,Unannounced,,,Private for-profit
University of Mary,ND,Test Optional,,Yes,https://www.umary.edu/admission-aid/undergraduate-admissions/admission-requirements/incoming-freshman,39%,Private not-for-profit
University of Mary Hardin-Baylor,TX,Test Optional,"1,3",Unannounced,,32%,Private not-for-profit
University of Mary Washington,VA,Test Optional,3,No,,70%,Public
University of Maryland Eastern Shore,MD,Test Optional,,No,,,Public
University of Maryland Global Campus,MD,Test Optional,,Unannounced,,,Public
University of Maryland-Baltimore County,MD,Test Optional,,Yes,https://undergraduate.umbc.edu/first-year-students/how-to-apply/,65%,Public
University of Maryland-College Park,MD,Test Optional,,Yes,https://admissions.umd.edu/apply/freshman-application-faqs,45%,Public
University of Massachusetts Global,CA,Test Optional,,No,https://www.umassglobal.edu/news-and-events/blog/online-undergraduate-admissions-faqs,,Public
University of Massachusetts-Amherst,MA,Test Optional,,No,https://www.umass.edu/admissions/undergraduate-admissions/connect/information-policies/test-optional-policy,65%,Public
University of Massachusetts-Boston,MA,Test Optional,,No,https://www.umb.edu/admissions/first-year-students/apply/test-optional-admission/,70%,Public
University of Massachusetts-Dartmouth,MA,Test Optional,"3,4",No,,80%,Public
University of Massachusetts-Lowell,MA,Test Optional,,No,https://www.uml.edu/admissions/apply/No-Test-Option-FAQ.aspx,67%,Public
University of Michigan-Ann Arbor,MI,Test Optional,,No,https://admissions.umich.edu/apply/first-year-applicants/requirements-deadlines/application-changes,22%,Public
University of Michigan-Dearborn,MI,Test Optional,,Yes,"https://umdearborn.edu/subject-updates-test-optional-admission-policy-and-elpp#:~:text=The%20University%20of%20Michigan%2DDearborn,students%20through%20at%20least%202026.",39%,Public
University of Michigan-Flint,MI,Test Optional,"1,3",Unannounced,https://www.umflint.edu/admissions/first-year-students/,32%,Public
University of Minnesota-Duluth,MN,Test Optional,,No,https://admissions.d.umn.edu/apply/test-optional,47%,Public
University of Minnesota-Morris,MN,Test Optional,,Yes,https://admissions.tc.umn.edu/admissions/freshman-admission/act-sat-information,,Public
University of Minnesota-Rochester,MN,Test Optional,,No,https://r.umn.edu/umr-admissions/undergraduate-admissions/bachelor-science-health-sciences/review-factors,64%,Public
University of Minnesota-Twin Cities,MN,Test Optional,,Yes,https://admissions.tc.umn.edu/apply/application-checklist/application-checklist-freshman,53%,Public
University of Mississippi,MS,Test Optional,"1,3",Unannounced,https://olemiss.edu/admissions/undergraduate-admissions,11%,Public
University of Missouri-Columbia,MO,Test Optional,,Yes,https://admissions.missouri.edu/apply/freshmen/test-optional/,22%,Public
University of Missouri-Kansas City,MO,Test Optional,"3,4",No,https://www.umkc.edu/admissions/test-optional-admission-process.html,47%,Public
University of Missouri-St Louis,MO,Test Optional,,Yes,https://www.umsl.edu/admissions/first-year-student/admissions-requirements.html,45%,Public
University of Mobile,AL,Test Optional,,Unannounced,https://umobile.edu/undergraduate-admissions/,71%,Private not-for-profit
University of Montevallo,AL,Test Optional,,Yes,https://www.montevallo.edu/admissions-aid/,,Public
University of Mount Olive,NC,Test Optional,,Yes,http://umo.edu/new-traditional-undergraduate-requirements/,,Private not-for-profit
University of Mount Union,OH,Test Optional,,No,https://www.mountunion.edu/test-optional-policy,19%,Private not-for-profit
University of Nebraska at Kearney,NE,Test Optional,3,Unannounced,https://www.unk.edu/admissions/undergraduate/admissions-requirements.php,11%,Public
University of Nebraska at Omaha,NE,Test Optional,3,Unannounced,https://catalog.unomaha.edu/undergraduate/admissions/admission-requirements/,17%,Public
University of Nebraska-Lincoln,NE,Test Optional,3,Unannounced,https://admissions.unl.edu/apply/admission-requirements/first-year/,5%,Public
University of Nevada-Las Vegas,NV,Test Optional,1,Unannounced,https://www.unlv.edu/admissions/undergraduate/first-year,23%,Public
University of Nevada-Reno,NV,Test Optional,,Unannounced,https://www.unr.edu/admissions/freshman/requirements,,Public
University of New England,ME,Test Free,3,No,https://www.une.edu/admissions/undergrad/test-policy,,Private not-for-profit
University of New Hampshire at Manchester,NH,Test Optional,,No,https://manchester.unh.edu/admissions/first-year-students,57%,Public
University of New Hampshire-Main Campus,NH,Test Optional,,No,https://admissions.unh.edu/apply/first-year#requirements,58%,Public
University of New Haven,CT,Test Optional,4,No,,66%,Private not-for-profit
University of New Mexico-Main Campus,NM,Test Optional,,Unannounced,https://admissions.unm.edu/future-students/freshmen/,78%,Public
University of New Orleans,LA,Test Optional,"2,3",Unannounced,,11%,Public
University of North Alabama,AL,Test Optional,3,Yes,https://www.una.edu/admissions/new-freshmen.html,,Public
University of North Carolina at Asheville,NC,Test Optional,,Yes,https://www.northcarolina.edu/students/admission/,60%,Public
University of North Carolina at Chapel Hill,NC,Test Optional,,Yes,https://www.northcarolina.edu/students/admission/,42%,Public
University of North Carolina at Charlotte,NC,Test Optional,,Yes,https://www.northcarolina.edu/students/admission/,24%,Public
University of North Carolina at Greensboro,NC,Test Optional,,Yes,https://www.northcarolina.edu/students/admission/,86%,Public
University of North Carolina at Pembroke,NC,Test Optional,,Yes,https://www.northcarolina.edu/students/admission/,98%,Public
University of North Carolina School of the Arts,NC,Test Optional,,Yes,https://www.northcarolina.edu/students/admission/,75%,Public
University of North Carolina Wilmington,NC,Test Optional,,Yes,https://www.northcarolina.edu/students/admission/,78%,Public
University of North Dakota,ND,Test Optional,,Unannounced,https://und.edu/admissions/freshmen/apply.html,,Public
University of North Georgia,GA,Test Optional,3,Yes,https://ung.edu/undergraduate-admissions/how-to-apply/new-freshmen.php,1%,Public
University of North Texas,TX,Test Optional,3,Unannounced,,46%,Public
University of North Texas at Dallas,TX,Test Optional,,Unannounced,,96%,Public
University of Northern Colorado,CO,Test Optional,,Unannounced,https://www.unco.edu/admissions/how-to-apply/first-year.aspx,57%,Public
University of Northern Iowa,IA,Test Optional,,No,https://admissions.uni.edu/test-optional-policy,54%,Public
University of Northwestern Ohio,OH,Test Optional,1,Unannounced,,,Private not-for-profit
University of Northwestern-St Paul,MN,Test Optional,,Unannounced,https://unwsp.edu/admissions/apply/undergraduate-application,41%,Private not-for-profit
University of Notre Dame,IN,Test Optional,,Yes,https://admissions.nd.edu/visit-engage/stories-news/notre-dame-to-extend-test-optional-practice/,33%,Private not-for-profit
University of Oklahoma-Norman Campus,OK,Test Optional,,Yes,https://okcfox.com/news/local/ou-to-adopt-test-optional-admissions-policy-for-the-next-5-years,22%,Public
University of Oregon,OR,Test Optional,,No,https://admissions.uoregon.edu/testoptional,83%,Public
University of Phoenix-Arizona,AZ,Test Optional,,Unannounced,,,Private for-profit
University of Phoenix-California,CA,Test Optional,,Unannounced,,,Private for-profit
University of Phoenix-Hawaii,HI,Test Optional,,Unannounced,,,Private for-profit
University of Phoenix-Nevada,NV,Test Optional,,Unannounced,,,Private for-profit
University of Phoenix-Texas,TX,Test Optional,,Unannounced,,,Private for-profit
University of Pikeville,KY,Test Optional,"1,4",Unannounced,,,Private not-for-profit
University of Pittsburgh-Bradford,PA,Test Optional,,Yes,https://www.upb.pitt.edu/how-apply,61%,Public
University of Pittsburgh-Greensburg,PA,Test Optional,,Yes,https://www.greensburg.pitt.edu/admissions/apply,62%,Public
University of Pittsburgh-Johnstown,PA,Test Optional,,No,"https://www.johnstown.pitt.edu/first-year-students-application-process#:~:text=Freshman%20applicants%20may%20choose%20whether,in%20your%20high%20school%20transcript.",41%,Public
University of Pittsburgh-Pittsburgh Campus,PA,Test Optional,,Yes,https://admissions.pitt.edu/test-optional/,37%,Public
University of Portland,OR,Test Optional,,Yes,https://www.up.edu/admissions/apply/first-year.html#accordion-5407be6209b64e8a96554f374df46684-2,81%,Private not-for-profit
University of Providence,MT,Test Optional,,Unannounced,,-1%,Private not-for-profit
University of Puerto Rico-Aguadilla,PR,Test Optional,4,Unannounced,https://www.uprag.edu/home/admisiones/,,Public
University of Puerto Rico-Arecibo,PR,Test Optional,3,Unannounced,http://upra.edu/admisiones/requisitos-de-admision/#1476808958648-364b5ad2-7004,,Public
University of Puerto Rico-Bayamon,PR,Test Optional,,Unannounced,,,Public
University of Puerto Rico-Carolina,PR,Test Optional,,Unannounced,,,Public
University of Puerto Rico-Cayey,PR,Test Optional,,Unannounced,,,Public
University of Puerto Rico-Humacao,PR,Test Optional,,Unannounced,,,Public
University of Puerto Rico-Mayaguez,PR,Test Optional,3,Unannounced,https://aldianews.com/en/education/education/new-upr-admission-criteria,,Public
University of Puerto Rico-Ponce,PR,Test Optional,3,Unannounced,https://aldianews.com/en/education/education/new-upr-admission-criteria,,Public
University of Puerto Rico-Rio Piedras,PR,Test Optional,3,Unannounced,https://aldianews.com/en/education/education/new-upr-admission-criteria,,Public
University of Puerto Rico-Utuado,PR,Test Optional,,Unannounced,https://www.uprag.edu/home/admisiones/,,Public
University of Puget Sound,WA,Test Optional,,No,https://www.pugetsound.edu/admission/apply/optional-application-questions/,60%,Private not-for-profit
University of Redlands,CA,Test Optional,,No,"https://www.redlands.edu/admissions-and-aid/first-year/apply/testing-policies/#:~:text=University%20of%20Redlands%20has%20signed,student%20without%20a%20test%20score.",80%,Private not-for-profit
University of Rhode Island,RI,Test Optional,,Yes,https://web.uri.edu/admission/first-year/,69%,Public
University of Richmond,VA,Test Optional,,Yes,https://admissions.richmond.edu/process/test-optional.html,60%,Private not-for-profit
University of Rio Grande,OH,Test Optional,"1,4",Unannounced,,,Private not-for-profit
University of Rochester,NY,Test Optional,,No,https://enrollment.rochester.edu/testing-policy/#test-optional,61%,Private not-for-profit
University of Saint Francis-Fort Wayne,IN,Test Optional,,Unannounced,https://admissions.sf.edu/undergraduate/apply/,39%,Private not-for-profit
University of Saint Joseph,CT,Test Optional,,No,https://www.hartfordbusiness.com/article/university-of-st-joseph-moves-to-test-optional-admissions,79%,Private not-for-profit
University of Saint Mary,KS,Test Optional,,Unannounced,https://www.stmary.edu/freshman-admissions,48%,Private not-for-profit
University of San Diego,CA,Test Free,,No,https://www.sandiego.edu/admission-and-aid/undergraduate/apply/test-free.php,,Private not-for-profit
University of San Francisco,CA,Test Optional,,No,https://www.usfca.edu/admission/undergraduate/test-optional,75%,Private not-for-profit
University of Science and Arts of Oklahoma,OK,Test Optional,3,Unannounced,,42%,Public
University of Scranton,PA,Test Optional,3,Unannounced,,61%,Private not-for-profit
University of Silicon Valley,CA,Test Optional,6,No,https://usv.edu/admission/admissions-requirements-freshman/,,Private for-profit
University of Sioux Falls,SD,Test Optional,,Unannounced,,,Private not-for-profit
University of South Alabama,AL,Test Optional,3,Yes,https://www.southalabama.edu/departments/admissions/freshmen.html,7%,Public
University of South Carolina Beaufort,SC,Test Optional,,Unannounced,https://admissions.uscb.edu/apply/freshmen/index.html,,Public
University of South Carolina-Columbia,SC,Test Optional,,Yes,https://www.sc.edu/about/offices_and_divisions/undergraduate_admissions/apply/for_freshmen/index.php,50%,Public
University of South Carolina-Upstate,SC,Test Optional,3,Unannounced,https://www.uscupstate.edu/globalassets/admissions-and-financial-aid/first-time-in-college/freshman-application-checklist.pdf,78%,Public
University of South Dakota,SD,Test Optional,3,Unannounced,,21%,Public
University of Southern California,CA,Test Optional,,Yes,https://admission.usc.edu/apply/first-year-students,50%,Private not-for-profit
University of Southern Indiana,IN,Test Optional,,Unannounced,https://www.usi.edu/admissions/incoming-freshmen/,50%,Public
University of Southern Maine,ME,Test Optional,4,No,,78%,Public
University of Southern Mississippi,MS,Test Optional,3,Unannounced,https://www.usm.edu/undergraduate-admissions/applicants.php,0%,Public
University of St Francis,IL,Test Optional,,Unannounced,https://www.stfrancis.edu/admissions-aid/freshmen/,77%,Private not-for-profit
University of St Thomas,MN,Test Optional,,Unannounced,https://www.stthomas.edu/st-thomas-adopts-test-optional-policy-for-prospective-students/,67%,Private not-for-profit
University of St Thomas,TX,Test Optional,3,No,https://www.clastify.com/blog/score-requirements/university-of-st-thomas-houston,83%,Private not-for-profit
University of the Cumberlands,KY,Test Optional,,Unannounced,,23%,Private not-for-profit
University of the District of Columbia,DC,Test Optional,6,Unannounced,https://www.udc.edu/admissions/admissions-standards/,,Public
University of the Incarnate Word,TX,Test Optional,,Yes,https://www.uiw.edu/admissions/freshman-admissions/admission-to-uiw.html,63%,Private not-for-profit
University of the Ozarks,AR,Test Optional,3,No,,10%,Private not-for-profit
University of the Pacific,CA,Test Optional,,Unannounced,https://www.pacific.edu/admission/undergraduate/applying/additional-admission-information/test-scores.html,66%,Private not-for-profit
University of the People,--,Test Optional,,Unannounced,,,Public
University of the Potomac-VA Campus,VA,Test Optional,,Unannounced,https://potomac.edu/admissions/requirements/,,Private for-profit
University of the Potomac-Washington DC Campus,DC,Test Optional,,Unannounced,,,Private for-profit
University of the Southwest,NM,Test Optional,"1,3",Unannounced,,,Private not-for-profit
University of the Virgin Islands-Albert A. Sheen,VI,Test Optional,,Unannounced,,,
"University of the Virgin Islands, St. Thomas",VI,Test Optional,,Unannounced,,,Public
University of the West,CA,Test Optional,,Unannounced,,,Private not-for-profit
University of Toledo,OH,Test Optional,,Unannounced,https://www.utoledo.edu/admission/freshman/test-optional.html,51%,Public
University of Tulsa,OK,Test Optional,,Unannounced,https://utulsa.edu/admission/faq-test-optional-policy/,23%,Private not-for-profit
University of Utah,UT,Test Optional,,No,https://www.ksl.com/article/50879586/university-of-utah-board-of-trustees-votes-to-retain-test-optional-admissions-policy,40%,Public
University of Valley Forge,PA,Test Optional,,No,https://valleyforge.edu/admissions/undergraduate-students/,,Private not-for-profit
University of Vermont,VT,Test Optional,,No,https://www.uvm.edu/uvmnews/news/uvm-officially-approves-test-optional-admissions-policy,48%,Public
University of Virginia-Main Campus,VA,Test Optional,,Yes,"https://admission.virginia.edu/faqs#:~:text=We%20are%20test%20optional%20for,expect%20decisions%20by%20February%2015.",33%,Public
University of Virginia's College at Wise,VA,Test Optional,3,Yes,https://www.uvawise.edu/admissions/incoming-freshmen/admissions-requirements,69%,Public
University of Washington-Bothell Campus,WA,Test Optional,,No,https://www.washington.edu/news/2020/06/11/uw-removes-standardized-testing-requirement-for-incoming-students-beyond-fall-2021/,92%,Public
University of Washington-Seattle Campus,WA,Test Optional,,No,https://www.washington.edu/news/2020/06/11/uw-removes-standardized-testing-requirement-for-incoming-students-beyond-fall-2021/,,Public
University of Washington-Tacoma Campus,WA,Test Optional,,No,https://www.washington.edu/news/2020/06/11/uw-removes-standardized-testing-requirement-for-incoming-students-beyond-fall-2021/,,Public
University of West Georgia,GA,Test Optional,3,Yes,https://www.usg.edu/announcements/usg_to_extend_temporary_test_optional_admission_for_academic_year_2025_2026,5%,Public
University of Wisconsin - Madison,WI,Test Optional,,Yes,https://admissions.wisc.edu/act_sat_faq/,43%,Public
University of Wisconsin-Eau Claire,WI,Test Optional,,Yes,https://admissions.wisc.edu/act_sat_faq/,49%,Public
University of Wisconsin-Green Bay,WI,Test Optional,,Yes,https://admissions.wisc.edu/act_sat_faq/,49%,Public
University of Wisconsin-La Crosse,WI,Test Optional,,Yes,https://admissions.wisc.edu/act_sat_faq/,44%,Public
University of Wisconsin-Milwaukee,WI,Test Optional,,Yes,https://admissions.wisc.edu/act_sat_faq/,30%,Public
University of Wisconsin-Oshkosh,WI,Test Optional,,Yes,https://admissions.wisc.edu/act_sat_faq/,54%,Public
University of Wisconsin-Parkside,WI,Test Optional,,Yes,https://admissions.wisc.edu/act_sat_faq/,68%,Public
University of Wisconsin-River Falls,WI,Test Optional,,Yes,https://admissions.wisc.edu/act_sat_faq/,65%,Public
