UNITID,INSTNM,CITY,STABBR,ZIP,HIGHDEG,ST_FIPS,LATITUDE,LONGITUDE,LOCALE,ADM_RATE,SAT_AVG,C150_4,UGDS_MEN,UGDS_WOMEN,Avg_Net_Price,COSTT4_A,SAT_z
217776,Southern Wesleyan University,Central,SC,29630-1020,4,45,34.728068,-82.761586,22,1,1106,0.5202,0.3748,0.6252,19968,38739,-0.45295053730040624
217819,College of Charleston,Charleston,SC,29424-0001,4,45,32.784225,-79.939794,12,0.72,1238,0.6498,0.3235,0.6765,19518,30731,0.46866599178754664
217864,Citadel Military College of South Carolina,Charleston,SC,29409,4,45,32.797183,-79.958775,12,0.9809,1184,0.7282,0.8567,0.1433,21002,31943,0.09164104806974772
217882,Clemson University,Clemson,SC,29634,4,45,34.679381,-82.835114,22,0.3805,1341,0.879,0.4697,0.5303,22112,34494,1.1878061622122371
217961,Converse University,Spartanburg,SC,29302-0006,4,45,34.955534,-81.917881,13,0.64,1124,0.471,0.2675,0.7325,19712,35669,-0.32727555606113995
218061,Francis Marion University,Florence,SC,29506,4,45,34.189777,-79.652854,41,0.8223,1039,0.4273,0.358,0.642,13451,22944,-0.9207407452465641
218070,Furman University,Greenville,SC,29613-6162,4,45,34.924676,-82.440458,21,0.5257,1364,0.8149,0.4264,0.5736,29997,73760,1.3483908604624109
218229,Lander University,Greenwood,SC,29649-2099,4,45,34.199892,-82.164736,32,0.6792,1057,0.4876,0.3186,0.6814,14501,26069,-0.7950657640072979
218414,Newberry College,Newberry,SC,29108,4,45,34.285868,-81.619777,32,0.748,1008,0.4438,0.5335,0.4665,20351,44240,-1.1371809907141894
218441,North Greenville University,Tigerville,SC,29688-1892,4,45,35.069758,-82.37026,41,0.6278,1176,0.5491,0.4654,0.5346,20612,40599,0.03578550085229603
218539,Presbyterian College,Clinton,SC,29325,4,45,34.465834,-81.87448,32,0.7234,1214,0.619,0.5151,0.4849,20899,57271,0.30109935013519157
218645,University of South Carolina Aiken,Aiken,SC,29801,4,45,33.572704,-81.767612,21,0.7972,1063,0.4011,0.3665,0.6335,11611,20922,-0.7531741035942091
218663,University of South Carolina-Columbia,Columbia,SC,29208,4,45,33.996788,-81.026935,12,0.6149,1297,0.7775,0.4211,0.5789,24532,32840,0.8806006525162529
218724,Coastal Carolina University,Conway,SC,29526,4,45,33.794995,-79.011767,13,0.8019,1128,0.5084,0.4497,0.5503,13742,26050,-0.2993477824524141
218742,University of South Carolina-Upstate,Spartanburg,SC,29303-4999,4,45,34.996403,-81.970583,22,0.6961,1082,0.4242,0.3438,0.6562,13725,24565,-0.6205171789527614
218964,Winthrop University,Rock Hill,SC,29733,4,45,34.941515,-81.031404,13,0.7506,1132,0.6122,0.3435,0.6565,16353,30275,-0.2714200088436883
218973,Wofford College,Spartanburg,SC,29303-3663,3,45,34.959411,-81.933568,13,0.5859,1297,0.8075,0.4688,0.5312,28984,69601,0.8806006525162529
231420,Averett University,Danville,VA,24541,4,51,36.577287,-79.413203,32,0.478,1054,0.4357,0.5,0.5,23262,51456,-0.8160115942138423
231581,Bridgewater College,Bridgewater,VA,22812-1599,4,51,38.378484,-78.969007,23,0.9081,1225,0.4944,0.5086,0.4914,20173,56195,0.37790072755918763
231624,William & Mary,Williamsburg,VA,23187-8795,4,51,37.269489,-76.708214,23,0.3272,1458,0.9101,0.4103,0.5897,22529,41118,2.004693540267468
231651,Regent University,Virginia Beach,VA,23464,4,51,36.801173,-76.194627,11,0.4118,1169,0.5409,0.3865,0.6135,18749,30550,-0.013088102962974196
231712,Christopher Newport University,Newport News,VA,23606-3072,4,51,37.062495,-76.494364,12,0.8796,1207,0.7508,0.4782,0.5218,22197,32242,0.25222574631992134
232025,Emory & Henry University,Emory,VA,24327-0947,4,51,36.772857,-81.829142,41,0.963,1171,0.5375,0.4607,0.5393,20591,52311,8.757838413887259e-4
232089,Ferrum College,Ferrum,VA,24088-9000,4,51,36.926431,-80.020614,42,1,990,0.2886,0.6201,0.3799,22085,54506,-1.2628559719534558
232186,George Mason University,Fairfax,VA,22030-4444,4,51,38.83195,-77.307063,21,0.8883,1247,0.6932,0.51,0.49,18287,26972,0.5315034824071798
232256,Hampden-Sydney College,Hampden-Sydney,VA,23943,3,51,37.240615,-78.464216,42,0.5013,1168,0.6527,0.9989,0.0011,24668,67129,-0.020070046365155657
232265,Hampton University,Hampton,VA,23668-0099,4,51,37.019944,-76.339161,21,0.4827,1062,0.5567,0.323,0.677,32145,45968,-0.7601560469963905
232308,Hollins University,Roanoke,VA,24020,4,51,37.354201,-79.943277,22,0.7086,1256,0.6968,0,1,22263,57481,0.594340973026813
232423,James Madison University,Harrisonburg,VA,22807,4,51,38.436311,-78.870484,13,0.7625,1247,0.8089,0.4307,0.5693,21816,30213,0.5315034824071798
232566,Longwood University,Farmville,VA,23909,4,51,37.297975,-78.396987,32,0.848,1117,0.616,0.303,0.697,20814,32870,-0.3761491598764102
232609,University of Lynchburg,Lynchburg,VA,24501-3113,4,51,37.399774,-79.181653,13,0.8219,1100,0.6162,0.3809,0.6191,20187,48300,-0.494842197713495
232681,University of Mary Washington,Fredericksburg,VA,22401-5300,4,51,38.302492,-77.476055,22,0.8626,1241,0.6738,0.3716,0.6284,21108,29234,0.48961182199409103
232937,Norfolk State University,Norfolk,VA,23504-8000,4,51,36.848429,-76.261375,12,0.8746,980,0.3267,0.3301,0.6699,12973,26093,-1.3326754059752703
232982,Old Dominion University,Norfolk,VA,23529,4,51,36.886418,-76.30666,12,0.9052,1190,0.4435,0.4564,0.5436,14170,27180,0.1335327084828365
233277,Radford University,Radford,VA,24142,4,51,37.136907,-80.549728,31,0.9064,1061,0.4962,0.351,0.649,16640,26681,-0.767137990398572
233295,Randolph-Macon College,Ashland,VA,23005-5505,3,51,37.76043,-77.478416,21,0.834,1148,0.746,0.4627,0.5373,27759,61174,-0.15970891440878487
233301,Randolph College,Lynchburg,VA,24503-1555,4,51,37.437315,-79.171887,13,0.9494,1109,0.5149,0.3981,0.6019,18436,43838,-0.43200470709386185
233374,University of Richmond,University of Richmond,VA,23173,4,51,37.577393,-77.538806,12,0.2331,1474,0.8784,0.46,0.54,33417,77290,2.1164046347023713
233426,Roanoke College,Salem,VA,24153-3794,3,51,37.294861,-80.055467,22,0.8007,1193,0.6589,0.4564,0.5436,27786,54059,0.15447853868938088
233611,Southern Virginia University,Buena Vista,VA,24416,3,51,37.740368,-79.35037,32,0.9964,1099,0.3829,0.516,0.484,24014,33066,-0.5018241411156765
233718,Sweet Briar College,Sweet Briar,VA,24595-9998,4,51,37.556725,-79.081014,41,0.7174,1227,0.481,0,1,23383,41832,0.3918646143635506
